Project Proponent,Agent,"Significantly Involved Person(s), Description of involvement",Project Name,Project ID,Method,Method URL,Method Type,Estimation or measurement approach or model,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Supplementary project information,Model start date(s),"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,KACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,NKACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Enforceable undertaking URLs related to this project,Enforceable undertakings related to this project,Notes,Project revoked
Graeme McDonald,CARBON LINK OPERATIONS PTY LTD,n/a,Moonbria Soil Carbon Project,ERF183550,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,2/03/2026,2/03/2026,1/03/2051,Queensland,n/a,"12/MTL25, 3/MTL25, 4/RP899423, 7/MTL25
 
The project is in the Barcaldine, Blackall Tambo local government areas.",https://cer.gov.au/sites/default/files/projectFiles/ERF183550.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Graeme McDonald,CARBON LINK OPERATIONS PTY LTD,n/a,Avondale Soil Carbon Project,ERF183551,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,2/03/2026,2/03/2026,1/03/2051,Queensland,n/a,"1/yn61, 10/WOO16, 2/YN61, 3/WOO4, 4/WOO4, 7/YN83, 96/OL3
 
The project is in the Blackall Tambo local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF183551.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Graeme McDonald,CARBON LINK OPERATIONS PTY LTD,n/a,Wildhorse Soil Carbon Project,ERF183552,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,2/03/2026,2/03/2026,1/03/2051,Queensland,4702,"3/SP100437
 
The project is in the Central Highlands (Qld) local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF183552.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Emerson Carbon Project,ERF200529,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, using legume species in cropping or pasture systems, using a cover crop to promote soil vegetation cover or improve soil health, or both and converting from intensive tillage practices to reduced or no tillage practices.","Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Converting from intensive tillage practices to reduced or no tillage practices; Using a cover crop to promote soil vegetation cover or improve soil health, or both; Using legume species in cropping or pasture systems",n/a,27/03/2026,27/03/2026,26/03/2051,Queensland,4670,"Lot 1/CP899707, Lot 126/RP817606, Lot 2/RP79524, Lot 2/SP330494, Lot 3/RP99660, Lot 6/RP22199, Lot 7/RP22199, Lot 8/SP330516, Lot2+3/RP129433
 
The project is in the Bundaberg local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF200529.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Daniel Ronchi,n/a,n/a,Ronchi Plantation - Conversion to Long Rotation Saw Log,ERF206083,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by converting an existing short rotation plantation forest to a long rotation plantation forest for commercial harvesting of wood products,Conversion from a short-rotation to long-rotation plantation forest,n/a,12/03/2026,12/03/2026,11/03/2051,Victoria,3844,"Lot 1/CS202744P/9670/444
 
The project is in the Wellington local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206083.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Nugent 2025,ERF206462,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by avoiding conversion of an existing or harvested plantation to non-forested land by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Avoided conversion of a plantation to non-forested land by continuing plantation,n/a,17/03/2026,17/03/2026,16/03/2051,Tasmania,7172,"135720/1, 135912/1, 51940/3
 
The project is in the Sorell local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206462.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
PLANTARE CARBON PTY LTD,n/a,n/a,Plantare Carbon Project 1,ERF206795,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,16/03/2026,1/06/2026,31/05/2051,Western Australia,6421,"342/D203246/1462/642
 
The project is in the Westonia local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206795.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
PLANTARE CARBON PTY LTD,n/a,n/a,Plantare Carbon Project 2,ERF206796,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,20/03/2026,2/05/2027,1/05/2052,Western Australia,6421,"342/D203246/1462/642, 344/D203246/1462/642
 
The project is in the Westonia local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206796.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
THE HILLS SHIRE COUNCIL,Dimitrios Dimoliatis,n/a,The Hills Shire SSO Waste Diversion Project,ERF207021,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,"The project involves a new waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to facilities for treatment using open windrow composting, enclosed composting or anaerobic digestion and the transfer of biogas to a combustion device for destruction, or process engineered fuel manufacture as eligible waste treatment technologies.",Expansion waste diversion,n/a,19/03/2026,30/03/2026,29/03/2033,New South Wales,2153,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Dunalley 2025,ERF207268,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,"This project sequesters carbon by transitioning a plantation forest to a permanent forest, in situations where that plantation is at risk of being converted to non-forested land.",Transitioning of existing plantation forest to a permanent planting,n/a,12/03/2026,12/03/2026,11/03/2051,Tasmania,7177,"155378/1
 
The project is in the Tasman local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF207268.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Bashan Rd 2025,ERF207289,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,"This project sequesters carbon by transitioning a plantation forest to a permanent forest, in situations where that plantation is at risk of being converted to non-forested land.",Transitioning of existing plantation forest to a permanent planting,n/a,23/03/2026,23/03/2026,22/03/2051,Tasmania,7140,"104890/1, 104891/1, 228233/1
 
The project is in the Central Highlands (Tas.) local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF207289.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Falmouth 2025,ERF207442,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,"This project sequesters carbon by transitioning a plantation forest to a permanent forest, in situations where that plantation is at risk of being converted to non-forested land.",Transitioning of existing plantation forest to a permanent planting,n/a,26/03/2026,26/03/2026,25/03/2051,Tasmania,7215,"163828/5
 
The project is in the Break O'Day local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF207442.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
BLUE MOUNTAINS CITY COUNCIL,n/a,n/a,Blue Mountains Food Waste Recovery,ERF207542,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,"The project involves new and expansion waste diversion activities where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to facilities for treatment using open windrow composting, enclosed composting or anaerobic digestion and the transfer of biogas to a combustion device for destruction, or process engineered fuel manufacture as eligible waste treatment technologies.",New waste diversion,n/a,23/03/2026,30/03/2026,29/03/2033,New South Wales,2799,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
CARBON NEUTRAL PTY LTD,n/a,n/a,Borrika Downs Reforestation Project,ERF207684,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2024,https://www.legislation.gov.au/Details/F2024L01473,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Establishing and maintaining a permanent mixed-species environmental planting,n/a,16/03/2026,16/03/2026,15/03/2051,South Australia,"5307, 5309","A2/H721700/6010/164, P1/D72794/5986/855, P2/D72794/5986/855, S135/H721700/5464/800, S156/H721700/5981/136, S26/H721700/5981/136, S28/H721700/5530/523, S29/H721700/5337/122, S73/H721700/5464/779
 
The project is in the Karoonda East Murray local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF207684.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,Yes,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
CASSINIA RESTORATION PTY LTD,n/a,n/a,ADAM_BB2024 Earlston,ERF207821,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2024,https://www.legislation.gov.au/Details/F2024L01473,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Establishing and maintaining a permanent mixed-species environmental planting,n/a,27/03/2026,27/03/2026,26/03/2051,Victoria,3669,"1/PS747200B/11888/106
 
The project is in the Strathbogie local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF207821.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LGI Limited,n/a,n/a,Hogans Pocket landfill gas project,ERF207940,Carbon Credits (Carbon Farming Initiative-Reducing Methane Emissions from Landfill Gas) Methodology Determination 2025,https://www.legislation.gov.au/Details/F2025L01430,Waste,n/a,This project will reduce emissions through collection and treatment methane gas and/or collecting and using the biomethane. ,Emissions destruction; Flaring only project; Non-biomethane project; Non-safeguard LFG project; Upgrade project,n/a,26/03/2026,26/03/2026,25/03/2038,Queensland,4741,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
City and Environment Directorate,Dimitrios Dimoliatis,n/a,ACT SSO Waste Diversion Project,ERF208027,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,The project involves new and expansion waste diversion activities where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to a facility or unit for treatment using enclosed composting as an eligible waste treatment technology.,Expansion waste diversion,n/a,24/03/2026,30/03/2026,29/03/2033,Australian Capital Territory,2602,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Maitland Foods Carbon Project 1,ERF208126,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,30/03/2026,30/03/2026,29/03/2051,South Australia,5464,"110/F199520/5898/537, 111/F199520/5898/537, 115/H231000/5357/294, 118/H231000/5357/294, 120/H231000/5357/294, 96/F199520/5898/537, 97/F199520/5898/537, 98/F199520/5898/537, 99/F199520/5898/537
 
The project is in the Wakefield local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF208126.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Maitland Foods Carbon Project 2,ERF208147,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,30/03/2026,30/03/2026,29/03/2051,South Australia,5464,"100/F199520/5898/537, 101/F199520/5898/537, 102/F199520/5898/537, 107/F199520/5898/537, 108/F199520/5898/537, 109/F199520/5898/537, 110/F199520/5898/537, 111/F199520/5898/537, 142/F216586/6191/360, 143/F216586/6191/360, 144/F216586/6191/360, 145/F216586/6191/360, 146/F216586/6191/360, 99/F199520/5898/537
 
The project is in the Wakefield local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF208147.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Maitland Foods Carbon Project 3,ERF208148,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,30/03/2026,30/03/2026,29/03/2051,South Australia,5464,"112/F199520/5898/537, 113/F199520/5898/537, 114/F199520/5898/537, 115/F199520/5898/537, 16/F102336/5121/822, 791/F190543/5817/584, 90/H231000/5794/499, 93/H231000/5794/499, 94/H231000/5794/499
 
The project is in the Wakefield local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF208148.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Maitland Foods Carbon Project 4,ERF208149,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,30/03/2026,30/03/2026,29/03/2051,South Australia,'5464,"101/F199520/5898/537, 102/F199520/5898/537, 103/F199520/5898/537, 104/F199520/5898/537, 105/F199520/5898/537, 106/F199520/5898/537, 107/F199520/5898/537, 108/F199520/5898/537, 133/H231000/5631/570, 134/H231000/5631/569, 142/H231000/5485/778, 143/H231000/5485/778, 144/H231000/5631/572, 194/H231000/5485/778, 195/H231000/5485/778, 196/H231000/5485/778, 197/F216513/5639/341, 197/H231000/5485/778, 198/F216513/5639/341, 198/H231000/5485/778, 199/F216513/5639/341, 199/H231000/5631/572, 200/F216513/5639/341, 200/H231000/5631/572, 201/F216513/5639/341, 201/H231000/5631/572, 202/F216513/5639/341, 202/H231000/5631/572, 203/F216513/5639/341, 203/H231000/5631/572, 204/F216513/5639/341, 204/H231000/5631/572, 205/F216513/5639/341, 205/H231000/5631/572, 206/F216513/5639/341, 206/H231000/5631/572, 207/F216513/5639/341, 207/H231000/5631/572, 208/F216513/5639/341, 208/H231000/5631/572, 209/F216513/5639/341, 209/H231000/5631/572, 210/F216513/5639/341, 210/H231000/5631/572, 211/F216513/5639/341, 211/H231000/5631/572, 212/F216513/5639/341, 212/H231000/5631/572, 213/F216513/5639/341, 213/H231000/5631/572, 214/F216513/5639/341, 215/F216513/5639/341, 215/H231000/5631/572, 216/F216513/5639/341, 217/F216513/5639/341, 218/F216513/5639/341, 219/F216513/5639/341, 220/F216513/5639/341, 221/F216513/5639/341, 222/F216513/5639/341, 223/F216513/5639/341, 224/F216513/5639/341, 225/F216513/5639/341, 226/F216513/5639/341, 227/F216513/5639/341, 228/F216513/5639/341, 229/F216513/5639/341, 231/F216513/5639/341, 233/F216513/5639/341, 235/F216513/5639/341, 98/F206662/5631/571
 
The project is in the Wakefield local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF208149.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
DBD ENVIRONMENTAL PTY LTD,n/a,n/a,Ennovo - Organic C&I Waste,ERF208155,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,The project involves an aggregated waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to a facility or unit for treatment using open windrow composting as an eligible waste treatment technology.,Aggregated waste diversion,n/a,24/03/2026,29/03/2026,28/03/2033,South Australia,5501,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,Yes,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
DBD ENVIRONMENTAL PTY LTD,n/a,n/a,Ennovo - Commercial Food Waste,ERF208156,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,The project involves a new and aggregated waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to a facility or unit for treatment using open windrow composting as an eligible waste treatment technology.,Aggregated waste diversion,n/a,24/03/2026,29/03/2026,28/03/2033,South Australia,5501,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,Yes,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Launceston City Council,n/a,n/a,Launceston food and garden source separated organics,ERF208429,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,The project involves an expansion waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to a facility or unit for treatment using enclosed composting as an eligible waste treatment technology.,Expansion waste diversion,n/a,25/03/2026,30/03/2026,29/03/2033,Tasmania,7248,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
